ANIO,descripcion,DEF_AMENABLES,GRUPO
2010,Epilepsia,209.00,Neurológico
2010,Neumonía,5557.00,Respiratorio
2010,Enf. respiratorias excl. neumonía e influenza (1-14),153.00,Respiratorio
2010,Influenza,13.00,Respiratorio
2010,Nefritis y nefrosis,2786.00,Urogenital
2010,Hiperplasia benigna de próstata,6.00,Urogenital
2011,Enfermedad cerebrovascular,7633.00,Cardiovascular
2011,Cardiopatía isquémica (50%),4585.50,Cardiovascular
2011,Hipertensión arterial,1823.00,Cardiovascular
2011,Enf. reumática cardíaca crónica,85.00,Cardiovascular
2011,Anomalías cardiovasculares congénitas,972.00,Congénito
2011,Úlcera péptica,136.00,Digestivo
2011,Colelitiasis y colecistitis,108.00,Digestivo
2011,Hernia abdominal,80.00,Digestivo
2011,Apendicitis,45.00,Digestivo
2011,Diabetes mellitus,392.00,Endócrino/Metabólico
2011,Enfermedades del tiroides,53.00,Endócrino/Metabólico
2011,Accidentes durante atención médica,1058.00,Iatrogénico
2011,Septicemia,4629.00,Infecciosas
2011,Tuberculosis y secuelas,472.00,Infecciosas
2011,Infecciones intestinales,113.00,Infecciosas
2011,Tos convulsa,74.00,Infecciosas
2011,Tétanos,2.00,Infecciosas
2011,Muertes perinatales,4320.00,Materno-Perinatal
2011,Muerte materna,319.00,Materno-Perinatal
2011,Ca. colon y recto,3707.00,Neoplasias
2011,Ca. mama,3451.00,Neoplasias
2011,Ca. cuello uterino,850.00,Neoplasias
2011,Leucemia,421.00,Neoplasias
2011,Ca. testículo,178.00,Neoplasias
2011,Ca. cuerpo uterino,170.00,Neoplasias
2011,Ca. piel (no melanoma),116.00,Neoplasias
2011,Enfermedad de Hodgkin,102.00,Neoplasias
2011,Epilepsia,211.00,Neurológico
2011,Neumonía,5638.00,Respiratorio
2011,Enf. respiratorias excl. neumonía e influenza (1-14),150.00,Respiratorio
2011,Influenza,6.00,Respiratorio
2011,Nefritis y nefrosis,2672.00,Urogenital
2011,Hiperplasia benigna de próstata,6.00,Urogenital
2012,Enfermedad cerebrovascular,7766.00,Cardiovascular
2012,Cardiopatía isquémica (50%),4800.00,Cardiovascular
2012,Hipertensión arterial,1879.00,Cardiovascular
2012,Enf. reumática cardíaca crónica,69.00,Cardiovascular
2012,Anomalías cardiovasculares congénitas,962.00,Congénito
2012,Úlcera péptica,153.00,Digestivo
2012,Colelitiasis y colecistitis,122.00,Digestivo
2012,Hernia abdominal,92.00,Digestivo
2012,Apendicitis,41.00,Digestivo
2012,Diabetes mellitus,392.00,Endócrino/Metabólico
2012,Enfermedades del tiroides,47.00,Endócrino/Metabólico
2012,Accidentes durante atención médica,988.00,Iatrogénico
2012,Septicemia,4559.00,Infecciosas
2012,Tuberculosis y secuelas,455.00,Infecciosas
2012,Infecciones intestinales,92.00,Infecciosas
2012,Tos convulsa,32.00,Infecciosas
2012,Tétanos,1.00,Infecciosas
2012,Muertes perinatales,3996.00,Materno-Perinatal
2012,Muerte materna,280.00,Materno-Perinatal
2012,Ca. colon y recto,3701.00,Neoplasias
2012,Ca. mama,3568.00,Neoplasias
2012,Ca. cuello uterino,881.00,Neoplasias
2012,Leucemia,449.00,Neoplasias
2012,Ca. testículo,169.00,Neoplasias
2012,Ca. cuerpo uterino,148.00,Neoplasias
2012,Ca. piel (no melanoma),141.00,Neoplasias
2012,Enfermedad de Hodgkin,128.00,Neoplasias
2012,Epilepsia,241.00,Neurológico
2012,Neumonía,5901.00,Respiratorio
2012,Enf. respiratorias excl. neumonía e influenza (1-14),190.00,Respiratorio
2012,Influenza,6.00,Respiratorio
2012,Nefritis y nefrosis,2956.00,Urogenital
2012,Hiperplasia benigna de próstata,15.00,Urogenital
2013,Enfermedad cerebrovascular,7752.00,Cardiovascular
2013,Cardiopatía isquémica (50%),4803.00,Cardiovascular
2013,Hipertensión arterial,1787.00,Cardiovascular
2013,Enf. reumática cardíaca crónica,75.00,Cardiovascular
2013,Anomalías cardiovasculares congénitas,1018.00,Congénito
2013,Úlcera péptica,158.00,Digestivo
2013,Hernia abdominal,120.00,Digestivo
2013,Colelitiasis y colecistitis,113.00,Digestivo
2013,Apendicitis,48.00,Digestivo
2013,Diabetes mellitus,413.00,Endócrino/Metabólico
2013,Enfermedades del tiroides,44.00,Endócrino/Metabólico
2013,Accidentes durante atención médica,1051.00,Iatrogénico
2013,Septicemia,4680.00,Infecciosas
2013,Tuberculosis y secuelas,492.00,Infecciosas
2013,Infecciones intestinales,105.00,Infecciosas
2013,Tos convulsa,11.00,Infecciosas
2013,Tétanos,5.00,Infecciosas
2013,Muertes perinatales,4146.00,Materno-Perinatal
2013,Muerte materna,272.00,Materno-Perinatal
2013,Ca. colon y recto,3949.00,Neoplasias
2013,Ca. mama,3654.00,Neoplasias
2013,Ca. cuello uterino,948.00,Neoplasias
2013,Leucemia,449.00,Neoplasias
2013,Ca. cuerpo uterino,187.00,Neoplasias
2013,Ca. testículo,175.00,Neoplasias
2013,Ca. piel (no melanoma),138.00,Neoplasias
2013,Enfermedad de Hodgkin,134.00,Neoplasias
2013,Epilepsia,280.00,Neurológico
2013,Neumonía,6684.00,Respiratorio
2013,Enf. respiratorias excl. neumonía e influenza (1-14),138.00,Respiratorio
2013,Influenza,31.00,Respiratorio
2013,Nefritis y nefrosis,3228.00,Urogenital
2013,Hiperplasia benigna de próstata,12.00,Urogenital
2014,Enfermedad cerebrovascular,8054.00,Cardiovascular
2014,Cardiopatía isquémica (50%),4711.00,Cardiovascular
2014,Hipertensión arterial,1744.00,Cardiovascular
2014,Enf. reumática cardíaca crónica,77.00,Cardiovascular
2014,Anomalías cardiovasculares congénitas,1021.00,Congénito
2014,Úlcera péptica,170.00,Digestivo
2014,Colelitiasis y colecistitis,131.00,Digestivo
2014,Hernia abdominal,117.00,Digestivo
