ANIO,EDAD_MIN,DEF_EVITABLES,EDAD_LABEL
2014,20,465.50,20-24
2014,25,586.50,25-29
2014,30,835.00,30-34
2014,35,1187.00,35-39
2014,40,1723.00,40-44
2014,45,2181.00,45-49
2014,50,3075.00,50-54
2014,55,4633.00,55-59
2014,60,6643.50,60-64
2014,65,8490.50,65-69
2014,70,10417.50,70-74
2014,75,104.00,75-79
2014,80,284.00,80+
2015,0,4870.00,<1
2015,1,537.00,1-9
2015,10,190.50,10-14
2015,15,341.50,15-19
2015,20,493.00,20-24
2015,25,603.50,25-29
2015,30,881.00,30-34
2015,35,1245.00,35-39
2015,40,1728.50,40-44
2015,45,2350.50,45-49
2015,50,3266.50,50-54
2015,55,4677.50,55-59
2015,60,7153.50,60-64
2015,65,9160.50,65-69
2015,70,11069.00,70-74
2015,75,153.00,75-79
2015,80,338.00,80+
2016,0,4535.00,<1
2016,1,665.00,1-9
2016,10,206.50,10-14
2016,15,351.00,15-19
2016,20,494.00,20-24
2016,25,690.50,25-29
2016,30,974.50,30-34
2016,35,1423.00,35-39
2016,40,1846.00,40-44
2016,45,2576.50,45-49
2016,50,3492.00,50-54
2016,55,5083.00,55-59
2016,60,7441.50,60-64
2016,65,9901.00,65-69
2016,70,12057.00,70-74
2016,75,140.00,75-79
2016,80,344.00,80+
2017,0,4355.00,<1
2017,1,562.00,1-9
2017,10,184.50,10-14
2017,15,318.00,15-19
2017,20,505.50,20-24
2017,25,640.00,25-29
2017,30,873.50,30-34
2017,35,1345.00,35-39
2017,40,1798.50,40-44
2017,45,2357.00,45-49
2017,50,3201.00,50-54
2017,55,4663.00,55-59
2017,60,6934.00,60-64
2017,65,9645.50,65-69
2017,70,11785.00,70-74
2017,75,139.00,75-79
2017,80,305.00,80+
2018,0,3925.50,<1
2018,1,568.00,1-9
2018,10,166.50,10-14
2018,15,315.00,15-19
2018,20,491.50,20-24
2018,25,661.00,25-29
2018,30,901.00,30-34
2018,35,1416.50,35-39
2018,40,1915.00,40-44
2018,45,2411.00,45-49
2018,50,3201.00,50-54
2018,55,4744.50,55-59
2018,60,6861.00,60-64
2018,65,9625.50,65-69
2018,70,11858.00,70-74
2018,75,127.00,75-79
2018,80,294.00,80+
2019,0,3743.00,<1
2019,1,526.00,1-9
2019,10,186.00,10-14
2019,15,284.50,15-19
2019,20,468.50,20-24
2019,25,634.00,25-29
2019,30,861.00,30-34
2019,35,1343.50,35-39
2019,40,1984.00,40-44
2019,45,2501.00,45-49
2019,50,3231.50,50-54
2019,55,4705.00,55-59
2019,60,7029.00,60-64
2019,65,9489.00,65-69
2019,70,12201.00,70-74
2019,75,136.00,75-79
2019,80,257.00,80+
2020,0,3039.00,<1
2020,1,355.00,1-9
2020,10,137.00,10-14
2020,15,270.00,15-19
2020,20,455.00,20-24
2020,25,668.50,25-29
2020,30,868.50,30-34
2020,35,1334.50,35-39
2020,40,1918.00,40-44
2020,45,2494.50,45-49
2020,50,3169.50,50-54
2020,55,4668.50,55-59
2020,60,6689.00,60-64
2020,65,9277.50,65-69
2020,70,11708.00,70-74
2020,75,90.00,75-79
2020,80,197.00,80+
2021,0,2890.00,<1
2021,1,378.00,1-9
2021,10,163.00,10-14
2021,15,325.00,15-19
2021,20,497.00,20-24
2021,25,800.50,25-29
2021,30,1048.00,30-34
2021,35,1600.00,35-39
2021,40,2312.50,40-44
2021,45,2953.50,45-49
2021,50,3801.00,50-54
2021,55,5516.00,55-59
2021,60,7987.50,60-64
2021,65,10981.00,65-69
2021,70,13598.50,70-74
2021,75,96.00,75-79
2021,80,226.00,80+
2022,0,2834.00,<1
2022,1,543.00,1-9
2022,10,204.00,10-14
2022,15,368.50,15-19
2022,20,488.50,20-24
2022,25,727.50,25-29
2022,30,993.50,30-34
2022,35,1414.00,35-39
2022,40,2251.00,40-44
2022,45,2749.50,45-49
2022,50,3735.50,50-54
2022,55,5132.50,55-59
2022,60,7722.50,60-64
2022,65,10692.50,65-69
2022,70,13901.50,70-74
2022,75,92.00,75-79
2022,80,195.00,80+
2023,0,2539.00,<1
2023,1,504.00,1-9
2023,10,198.00,10-14
2023,15,316.50,15-19
2023,20,453.50,20-24
2023,25,754.50,25-29
2023,30,1041.00,30-34
2023,35,1423.00,35-39
2023,40,2159.00,40-44
2023,45,2908.50,45-49
2023,50,3557.50,50-54
2023,55,5013.00,55-59
2023,60,7362.50,60-64
2023,65,10188.00,65-69
2023,70,13240.50,70-74
2023,75,111.00,75-79
2023,80,246.00,80+
2024,0,2509.00,<1
2024,1,447.00,1-9
2024,10,222.50,10-14
2024,15,340.50,15-19
2024,20,512.50,20-24
2024,25,775.50,25-29
2024,30,1100.00,30-34
2024,35,1572.00,35-39
2024,40,2322.00,40-44
2024,45,3070.00,45-49
2024,50,3756.00,50-54
2024,55,5134.50,55-59
2024,60,7540.50,60-64
2024,65,10747.50,65-69
2024,70,14183.00,70-74
2024,75,109.00,75-79
2024,80,250.00,80+
